Yr,Mn,Date,date_year,CO2,seasonally adjusted,fit,seasonally adjusted fit,CO2 filled,seasonally adjusted filled,Sta
1964,5,23512,1964.3716,322.25,319.37,322.37,319.49,322.25,319.37, MLO
1964,6,23543,1964.4563,321.9,319.73,321.67,319.53,321.9,319.73, MLO
1964,7,23573,1964.5383,320.44,319.79,320.18,319.56,320.44,319.79, MLO
1964,8,23604,1964.623,318.69,320.04,318.2,319.58,318.69,320.04, MLO
1964,9,23635,1964.7077,316.71,319.68,316.61,319.6,316.71,319.68, MLO
1964,10,23665,1964.7896,316.87,319.92,316.58,319.62,316.87,319.92, MLO
1964,11,23696,1964.8743,317.68,319.59,317.75,319.64,317.68,319.59, MLO
1964,12,23726,1964.9563,318.71,319.49,318.89,319.66,318.71,319.49, MLO
1965,1,23757,1965.0411,319.44,319.38,319.75,319.69,319.44,319.38, MLO
1965,2,23788,1965.126,320.44,319.78,320.4,319.72,320.44,319.78, MLO
1965,3,23816,1965.2027,320.89,319.58,321.09,319.77,320.89,319.58, MLO
1965,4,23847,1965.2877,322.13,319.78,322.2,319.83,322.13,319.78, MLO
1965,5,23877,1965.3699,322.17,319.28,322.79,319.91,322.17,319.28, MLO
1965,6,23908,1965.4548,321.88,319.68,322.18,320,321.88,319.68, MLO
1965,7,23938,1965.537,321.21,320.52,320.75,320.1,321.21,320.52, MLO
1965,8,23969,1965.6219,318.87,320.19,318.85,320.21,318.87,320.19, MLO
1965,9,24000,1965.7068,317.82,320.79,317.33,320.32,317.82,320.79, MLO
1965,10,24030,1965.789,317.3,320.37,317.38,320.43,317.3,320.37, MLO
1965,11,24061,1965.874,318.87,320.79,318.65,320.55,318.87,320.79, MLO
1965,12,24091,1965.9562,319.42,320.2,319.9,320.66,319.42,320.2, MLO
1966,1,24122,1966.0411,320.62,320.57,320.85,320.78,320.62,320.57, MLO
1966,2,24153,1966.126,321.6,320.93,321.57,320.9,321.6,320.93, MLO
1966,3,24181,1966.2027,322.39,321.07,322.33,321.01,322.39,321.07, MLO
1966,4,24212,1966.2877,323.7,321.34,323.49,321.12,323.7,321.34, MLO
1966,5,24242,1966.3699,324.08,321.18,324.11,321.22,324.08,321.18, MLO
1966,6,24273,1966.4548,323.75,321.55,323.5,321.32,323.75,321.55, MLO
1966,7,24303,1966.537,322.37,321.69,322.05,321.4,322.37,321.69, MLO
1966,8,24334,1966.6219,320.36,321.69,320.12,321.48,320.36,321.69, MLO
1966,9,24365,1966.7068,318.64,321.62,318.55,321.55,318.64,321.62, MLO
1966,10,24395,1966.789,318.1,321.18,318.55,321.62,318.1,321.18, MLO
1966,11,24426,1966.874,319.78,321.71,319.78,321.68,319.78,321.71, MLO
1966,12,24456,1966.9562,321.02,321.81,320.97,321.74,321.02,321.81, MLO
1967,1,24487,1967.0411,322.33,322.27,321.87,321.8,322.33,322.27, MLO
1967,2,24518,1967.126,322.5,321.83,322.53,321.85,322.5,321.83, MLO
1967,3,24546,1967.2027,323.03,321.72,323.23,321.9,323.03,321.72, MLO
1967,4,24577,1967.2877,324.41,322.05,324.34,321.96,324.41,322.05, MLO
1967,5,24607,1967.3699,325,322.1,324.92,322.01,325,322.1, MLO
1967,6,24638,1967.4548,324.09,321.89,324.26,322.07,324.09,321.89, MLO
1967,7,24668,1967.537,322.54,321.86,322.79,322.14,322.54,321.86, MLO
1967,8,24699,1967.6219,320.92,322.25,320.84,322.2,320.92,322.25, MLO
1967,9,24730,1967.7068,319.25,322.25,319.27,322.27,319.25,322.25, MLO
1967,10,24760,1967.789,319.39,322.48,319.27,322.35,319.39,322.48, MLO
1967,11,24791,1967.874,320.73,322.66,320.51,322.42,320.73,322.66, MLO
1967,12,24821,1967.9562,321.96,322.74,321.72,322.49,321.96,322.74, MLO
1968,1,24852,1968.041,322.57,322.51,322.64,322.57,322.57,322.51, MLO
1968,2,24883,1968.1257,323.15,322.48,323.33,322.65,323.15,322.48, MLO
1968,3,24912,1968.2049,323.89,322.55,324.09,322.73,323.89,322.55, MLO
1968,4,24943,1968.2896,325.02,322.62,325.24,322.83,325.02,322.62, MLO
1968,5,24973,1968.3716,325.57,322.66,325.83,322.92,325.57,322.66, MLO
1968,6,25004,1968.4563,325.36,323.17,325.2,323.03,325.36,323.17, MLO
1968,7,25034,1968.5383,324.14,323.48,323.77,323.14,324.14,323.48, MLO
1968,8,25065,1968.623,322.11,323.47,321.86,323.25,322.11,323.47, MLO
1968,9,25096,1968.7077,320.33,323.34,320.34,323.37,320.33,323.34, MLO
1968,10,25126,1968.7896,320.25,323.34,320.41,323.49,320.25,323.34, MLO
1968,11,25157,1968.8743,321.32,323.26,321.7,323.62,321.32,323.26, MLO
1968,12,25187,1968.9563,322.89,323.68,322.97,323.75,322.89,323.68, MLO
1969,1,25218,1969.0411,324,323.95,323.95,323.89,324,323.95, MLO
1969,2,25249,1969.126,324.42,323.74,324.71,324.03,324.42,323.74, MLO
1969,3,25277,1969.2027,325.63,324.31,325.5,324.16,325.63,324.31, MLO
1969,4,25308,1969.2877,326.66,324.28,326.7,324.3,326.66,324.28, MLO
1969,5,25338,1969.3699,327.38,324.46,327.35,324.44,327.38,324.46, MLO
1969,6,25369,1969.4548,326.71,324.49,326.77,324.57,326.71,324.49, MLO
1969,7,25399,1969.537,325.88,325.19,325.35,324.69,325.88,325.19, MLO
1969,8,25430,1969.6219,323.66,325,323.42,324.8,323.66,325, MLO
1969,9,25461,1969.7068,322.38,325.39,321.88,324.9,322.38,325.39, MLO
1969,10,25491,1969.789,321.78,324.89,321.9,324.99,321.78,324.89, MLO
1969,11,25522,1969.874,322.85,324.8,323.15,325.08,322.85,324.8, MLO
1969,12,25552,1969.9562,324.11,324.91,324.38,325.16,324.11,324.91, MLO
1970,1,25583,1970.0411,325.06,325,325.31,325.24,325.06,325, MLO
1970,2,25614,1970.126,325.99,325.31,326,325.32,325.99,325.31, MLO
1970,3,25642,1970.2027,326.93,325.6,326.74,325.4,326.93,325.6, MLO
1970,4,25673,1970.2877,328.13,325.75,327.88,325.48,328.13,325.75, MLO
1970,5,25703,1970.3699,328.08,325.15,328.48,325.55,328.08,325.15, MLO
1970,6,25734,1970.4548,327.67,325.44,327.84,325.63,327.67,325.44, MLO
